CNTRYID,CNTSCHID,STUBEHA,SCMCEG,TEACHBEHA,W_FSTUWT_SCH_SUM
36,3600200,0.0321,-0.1868,0.2266,151.2786
36,3600201,1.2343,-4.0518,1.6929,167.10482
36,3600202,-1.6198,0.9042,-0.0322,975.92074
36,3600203,,,,183.46407
36,3600204,-1.1401,-0.6263,0.2364,538.26681
36,3600205,1.3778,-2.436,1.2271,151.17692
36,3600206,0.4651,-0.5083,1.2182,352.23216
36,3600207,-1.5397,0.9042,-1.2356,213.6445
36,3600208,0.4781,0.9042,0.7185,283.57619
36,3600209,-0.335,0.9042,0.2266,393.69537
36,3600210,-0.0384,0.9042,0.2266,387.48261
36,3600211,0.6058,0.9042,-1.419,85.59813
36,3600212,0.4147,-0.6263,0.6015,218.88242
36,3600213,-0.0468,-0.1661,0.6101,272.1764
36,3600214,,,,33.53873
36,3600215,-0.0384,0.287,0.6101,451.89527
36,3600216,0.8153,0.9042,0.8952,423.5822
36,3600217,,,,477.88478
36,3600218,-0.335,0.9042,1.4788,432.81967
36,3600219,1.0465,0.9042,0.6101,500.45795
36,3600220,-1.1401,0.9042,-0.3913,40.27317
36,3600221,0.1795,-1.6816,0.2266,195.59518
36,3600222,-0.0384,0.287,0.2785,86.79641
36,3600223,0.2211,-1.5648,0.5642,140.49898
36,3600224,-0.0384,0.287,0.3498,319.96548
36,3600225,,,,433.77245
36,3600226,,,,103.0881
36,3600227,0.1795,-0.4859,0.7185,344.88766
36,3600228,,0.9042,,127.71106
36,3600229,-0.8443,0.9042,0.2266,103.91967
36,3600230,-1.1232,0.9042,0.2266,382.70467
36,3600231,-1.5397,0.9042,-0.042,269.97098
36,3600232,0.735,-0.4859,0.9355,446.29662
36,3600233,-0.3925,0.9042,0.9355,145.98009
36,3600234,-0.0384,0.1571,0.2266,194.00776
36,3600235,1.7547,0.287,1.3648,554.56921
36,3600236,0.4781,-1.9375,1.1913,498.5389
36,3600237,0.4651,0.9042,1.6556,500.29963
36,3600238,1.2343,0.9042,0.2266,495.1782
36,3600239,1.0886,-1.0542,1.6321,113.09409
36,3600240,0.4147,-1.0542,0.6479,88.33763
36,3600241,-0.6199,0.9042,-0.042,461.49963
36,3600242,-0.0956,0.9042,0.9355,459.55976
36,3600243,0.4282,0.9042,-1.2225,499.01308
36,3600244,-0.5078,-1.0542,0.2266,423.3127
36,3600245,-0.335,0.9042,0.2266,113.75023
36,3600246,-0.8443,0.9042,0.6101,133.25618
36,3600247,-0.7912,-0.1764,0.7185,380.2988
36,3600248,-0.0956,0.287,0.2266,435.09673
36,3600249,1.7599,-0.061,0.5642,329.91595
36,3600250,-0.335,0.9042,0.2266,536.35588
36,3600251,,,,714.48569
36,3600252,-0.335,0.9042,0.2266,577.01066
36,3600253,1.4126,0.3009,1.897,624.60322
36,3600254,-1.4545,-0.4859,-0.3913,549.45336
36,3600255,1.5622,-1.0542,1.4533,469.05565
